鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
吉安鄉,土地,慶豐段1711~1740地號,272.0,住,,,1080924,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14062400,51700,,0.0,0,親友、員工或其他特殊關係間之交易。;本案係二親等母女間買賣案件，交易價格以108年公告現值為買賣價款。,RPPNMLTKOHPFFAU67CA,0.0,0.0,0.0,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉干城二街121~150號,106.16,,一般農業區,甲種建築用地,1090608,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0760314,107.34,2,2,2,有,無,3668000,34172,,0.0,0,,RPQNMLRKOHPFFAU57CA,104.27,0.0,3.07,
吉安鄉,土地,光華段二小段91~120地號,132.98,,工業區,丁種建築用地,1090518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6700000,50384,,0.0,0,,RPUNMLRKOHPFFAU97CA,0.0,0.0,0.0,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉昌三街211~240號,93.0,住,,,1090406,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850321,200.91,4,2,3,有,無,7550000,37579,,0.0,0,,RPWOMLQKOHPFFAU18CA,167.95,11.22,21.74,
花蓮市,房地(土地+建物),花蓮縣花蓮市長安街1~30號,12.9,住,,,1090317,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,104.09,2,1,1,有,有,4095000,39341,,0.0,0,,RPWNMLRKOHPFFAU18CA,53.89,3.69,4.24,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉豐路三段601~630號,22.37,,鄉村區,乙種建築用地,1090525,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0750412,20.77,3,2,2,有,無,360000,17333,,0.0,0,三樓有增建,RPXNMLNLOHPFFAU97CA,19.9,0.0,0.87,
花蓮市,房地(土地+建物),花蓮縣花蓮市民權九街31~60號,20.21,商,,,1090428,土地2建物2車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820109,125.25,3,2,2,有,有,5600000,44711,,0.0,0,,RPVPMLKLOHPFFAU67CA,93.53,0.47,9.04,
花蓮市,房地(土地+建物),花蓮縣花蓮市美崙市場1~30號,37.0,其他,,,1090518,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0620129,122.24,3,2,2,有,無,3800000,31086,,0.0,0,,RPOQMLKLOHPFFAU07CA,122.24,0.0,0.0,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里一街1~30號,73.0,住,,,1090609,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0610801,48.47,2,2,1,有,無,2170000,44770,,0.0,0,,RPSPMLKLOHPFFAU37CA,48.47,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街91~120號,16.55,商,,,1090526,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0821021,148.11,2,2,2,有,有,6000000,40510,,0.0,0,,RPWNMLMLOHPFFAU77CA,107.52,0.0,10.37,
