鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
南投市,房地(土地+建物),南投縣南投市彰南路三段1211巷2弄1~30號,116.22,住,,,1090507,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080710,204.82,4,2,2,有,無,8300000,40523,,0.0,0,,RPWNMLTLPHPFFAM77CA,184.91,0.0,19.91,
名間鄉,土地,新弓鞋段571~600地號,2731.52,,一般農業區,農牧用地,1090520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3650000,1336,,0.0,0,,RPXNMLNJPHPFFAM17DA,0.0,0.0,0.0,無
中寮鄉,土地,分水寮段331~360地號,1397.0,,山坡地保育區,農牧用地,1090610,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,215,,0.0,0,,RPUOMLNJPHPFFAM96DA,0.0,0.0,0.0,無
南投市,土地,福助段361~390地號,137.05,,山坡地保育區,丙種建築用地,1090616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,5837,,0.0,0,含仲介費16000元;,RPRNMLQJPHPFFAM86DA,0.0,0.0,0.0,無
名間鄉,土地,名山段91~120地號,3938.83,,一般農業區,農牧用地,1090606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,1396,,0.0,0,,RPVNMLQJPHPFFAM27DA,0.0,0.0,0.0,無
國姓鄉,房地(土地+建物),南投縣國姓鄉大長路481~510號,60.99,,鄉村區,乙種建築用地,1090610,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680701,83.59,2,1,2,有,無,870000,10408,,0.0,0,,RPQNMLKLPHPFFCM09CA,83.59,0.0,0.0,
埔里鎮,土地,慈恩段331~360地號,622.25,,特定農業區,農牧用地,1090304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3214,,0.0,0,,RPPNMLPKPHPFFCM76CA,0.0,0.0,0.0,
埔里鎮,房地(土地+建物)+車位,民富路31~60號,23.87,其他,,,1090607,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840630,124.64,2,2,1,有,有,4000000,32092,升降機械,0.0,0,,RPUNMLLJPHPFFCM86DA,70.15,1.5,12.83,有
埔里鎮,房地(土地+建物),枇杷一巷1~30號,117.45,,特定農業區,甲種建築用地,1090623,土地1建物1車位0,全,一層,透天厝,住家用,磚造,,51.38,3,2,1,有,無,2700000,52550,,0.0,0,,RPQOMLLJPHPFFCM56DA,51.38,0.0,0.0,無
埔里鎮,土地,牛尾段151~180地號,1160.87,,山坡地保育區,農牧用地,1090602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4389500,3781,,0.0,0,,RPWNMLNJPHPFFCM27DA,0.0,0.0,0.0,無
